Resource and Energy Economics,2021-02-28,Heterogeneous preferences and investments in energy saving measures ,"Risk preferences,Time preferences,Environmental preferences,Social preferences,Energy efficiency,Artefactual field experiment","
                  We investigate whether risk, time, environmental, and social preferences affect single-family homeowners’ investments in the energy efficiency of their house using established experimental measures and questionnaires. We find that homeowners who report to be more risk taking are more likely to have renovated their house. Pro-environmental and future-oriented renovators, i.e. renovators with lower discount factors, live in homes with higher energy efficiency. Pro-social preferences as measured in a dictator game relates positively to the energy quality of renovated houses. Controlling for the energy efficiency of houses, we further find that energy consumption as measured by heating and electricity costs is lower for future-oriented and pro-environmental individuals.
               ",S0928765520304115
Resource and Energy Economics,2021-02-28,Introduction to valuing and managing the environment: A special issue in honor of Gregory L. Poe ,,,S0928765520303158
Resource and Energy Economics,2021-02-28,"Depletion, climate, and the incremental value of groundwater ","Contingent valuation,Groundwater,Climate change,Ogallala Aquifer","
                  Groundwater provides vital inputs to crop production and contributes to rural economies throughout the world. Research on the economic benefits associated with groundwater resources has typically focused on the impacts of groundwater availability on the profitability of agricultural production or on the non-market benefits associated with groundwater quality for human consumption. In this research, we use stated-preference methods to investigate the total economic value to agricultural producers of an increase in groundwater availability in the Ogallala Aquifer region. The contingent valuation method allows for estimation of values beyond agricultural profitability, including non-market values such as the ability to leave additional groundwater to future generations. We find a median willingness to pay (WTP) for an additional 100 gallons per minute of well capacity of $77 per well, and that this estimate depends strongly on current well capacity and climate conditions. For counties in hotter and drier regions of the aquifer with low well capacity, median WTP is significantly higher. These results are then used in conjunction with projections of future climate and groundwater availability to generate predicted changes in the WTP for additional groundwater across the aquifer. This research provides important feedback on how the benefits of additional groundwater availability are predicted to change as groundwater resources are diminished in a changing climate.
               ",S0928765518303403
Resource and Energy Economics,2021-02-28,Impact of peer comparisons and firm heterogeneity on nonpoint source water pollution: An experimental study ,"Ambient-based policy,Heterogeneous agents,Information nudges,Laboratory experiment,Nonpoint source pollution","
                  Greg Poe was a pioneer in using experimental economics to test theories and potential policies for controlling ambient pollution. His foundational work showed that, in some settings, policies could induce groups to reduce their nonpoint source (NPS) pollution to socially-efficient levels. Poe’s earlier studies assumed firms were homogeneous, which laid the groundwork for subsequent research to investigate the effect of firm heterogeneity on policy outcomes. We build on the research foundation laid by Poe and his colleagues by using an economic experiment to test the effects of four types of firm heterogeneity and three social norm information treatments on the performance of an ambient tax/subsidy policy. Our experimental results show that heterogeneity reduces the effectiveness of the ambient tax/subsidy policy, but that information nudges can improve outcomes even when there is considerable heterogeneity in the policy environment. Participants were also better able to find and retain their dominant strategies when they were provided with information about similar firms, suggesting that individually-targeted information is more effective than information about aggregate group-level decisions.
               ",S092876551830318X
Resource and Energy Economics,2021-02-28,Property rights and groundwater management in the High Plains Aquifer ,"Groundwater extraction,Property rights,Prior appropriation,Dynamic optimization","
                  Groundwater is an important natural resource that needs to be managed dynamically. Ideally, institutions governing property rights to the groundwater of low-recharge aquifers should not discourage or disincentivize groundwater users from dynamic management. We develop an empirical model to examine whether agricultural groundwater users faced with prior appropriation property rights to groundwater in western Kansas exhibit dynamic, forward-looking behavior consistent with dynamic management. We find that although farmers are allotted a time-invariant maximum amount of groundwater that they can extract each year, they still behave in a manner consistent with dynamic management. Their groundwater extraction decisions are not significantly affected by the quantity they are authorized to extract, but are instead affected by expected future crop prices, expected future energy prices, and groundwater extraction by neighbors. Our results provide evidence that farmers manage their groundwater resource dynamically, even if their property rights do not necessarily encourage or incentivize them to do so.
               ",S0928765518303026
Resource and Energy Economics,2021-02-28,"Measuring benefits from spatially-explicit surface water quality improvements: The roles of distance, scope, scale, and size ","Water quality,Nonmarket valuation,Willingness to pay,Distance decay,Scope test","
                  Programs to improve water quality do not improve all water bodies equally. Evaluation of the benefits of such programs must account for where improvements occur and the relative magnitude of improvements that occur in different places. This study uses a choice experiment survey to explore how the value to a household of a surface water quality improvement varies as a function of (i) the distance between the household and the affected streams and rivers, (ii) the degree to which the quality of the water has been improved, (iii) how many stream and river miles have been improved, and (iv) the sizes of the affected streams and rivers. Results show evidence that value declines with distance in an approximately linear way, weak evidence that large rivers are worth more than small rivers, and no evidence that willingness-to-pay is nonlinear in either the degree of water quality improvement or the number of stream miles improved. These results indicate that it may be defensible in applied work to value small, spatially-explicit water quality improvement projects independently and then sum over projects.
               ",S0928765518302458
Resource and Energy Economics,2021-02-28,A field experiment to estimate the effects of anchoring and framing on residents’ willingness to purchase water runoff management technologies ,"Behavioral economics,Nudge,Preference stability,Preference consistency,Default,Starting bid,Nitrogen,Phosphorus","
                  Watersheds throughout the world have been severely polluted by nutrient-laden runoff that comes from industrial, agricultural, and residential sources. Efforts to reduce this runoff have focused on industrial and agricultural sources, while little attention has been paid to encouraging residents to reduce runoff from their properties. To study residents’ willingness to adopt landscaping practices that reduce runoff, we conducted a field experiment in the Delaware River watershed. In the experiment, over three hundred adults participated in a series of random-price auctions that revealed their willingness to pay (WTP) for five products that reduce nutrient runoff. To study how WTP can be influenced by attributes of the choice architecture, we randomized the starting bid values (anchors) and the way in which the external benefits of the five practices were framed. Compared to a neutral framing, a positive framing (using the product can improve water quality) increased average WTP by about one-third, while the estimated effect of a negative framing (failing to use the product can worsen water quality) was also positive, but smaller and not statistically different from zero. The estimated effect on average WTP from the anchor depends on how bids of $0 are modeled, but the results imply that higher anchors lead to higher WTP. Although we believe the magnitudes of our results should be considered suggestive and we recommend replications with higher statistical power, the results add to the evidence base that environmental programs can achieve policy-relevant gains in program performance through a series of small changes to the decision environment.
               ",S0928765518303129
Resource and Energy Economics,2020-11-30,Groundwater management under heterogeneous land tenure arrangements ,,"
                  We develop a groundwater extraction model that considers the Marshallian inefficiency associated with sharecropping and use data from Pakistan to simulate the impact of an open access regime and of optimal management on groundwater extractions, the state of the aquifer, and annual net benefits through time. We also evaluate a price instrument as a mechanism of inducing optimal extractions. Under both open access and optimal management, we observe notable differences in groundwater extractions and the water table level between the tenure model (which considers the behavior of both owner cultivators and sharecroppers) and the baseline model (which includes the behavior of only owner cultivators). We also find a modest difference in the aggregate net benefits generated by the two models. The results offer new insights—vis-à-vis land tenure heterogeneity—into the evaluation of more effective policies for groundwater management and aquifer sustainability.
               ",S0928765520304127
Resource and Energy Economics,2020-11-30,The impact of information-based interventions on conservation behavior: A meta-analysis ,"Conservation,Information,Meta-analysis,Nudges,Publication bias,Random forest,Social norms","
                  Interest in using information-based interventions to induce energy and water conservation has increased in recent years but have shown mixed evidence of their effectiveness. This paper seeks to answer two main questions - whether these programs are broadly effective in inducing conservation, and what are the most effective versions of these programs. Using a meta-analysis of 116 studies, we examine the effects of information-based interventions on residential customers' consumption of electricity, gas, and water. We find evidence of publication bias in this literature. After correcting for publication bias, meta-analysis results indicate that information-based interventions reduce consumption by an average of 6.24%, 95% CI [-10.72, -1.76]. In addition, we find that studies employing RCTs find smaller conservation effects, (-5.2%, 95% CI [−9.53, −0.51]). Our results show that the effectiveness of information-based interventions at the household level are significantly larger than those at the aggregate level (such as dorms and buildings). Finally, interventions with a shorter duration or with more frequent reporting show larger estimated effect sizes.
               ",S0928765518303828
Resource and Energy Economics,2020-11-30,Who benefits from an oil boom? Evidence from a unique Alaskan data set ,"Oil boom,Alaska,Regional development,Distributional effects","
                  Oil booms have been shown to increase local employment and wages. But these effects reflect the aggregated experience of residents, commuters, and recent migrants alike. This paper takes advantage of a unique data set that identifies a rich set of labor market outcomes by place of residence, rather than by place of work. Exploiting this feature of the data, we examine the effect of a major oil boom on employment and wage outcomes in the North Slope Borough of Alaska. This analysis is juxtaposed with a more conventional one that uses place-of-work data collected from the Bureau of Economic Analysis. Using the Synthetic Control Method, we find that the oil boom of the late 2000s significantly increased non-residential employment. While the boom caused residential employment to shift from the public to the private sector, total residential employment was unaffected. There is weak evidence that residential wages increased in response to the boom. These results are important as drilling decisions are often negotiated locally by interest groups that might be less concerned with general equilibrium effects.
               ",S0928765519301113
Resource and Energy Economics,2020-11-30,Convergence of the world’s energy use ,"Energy use,Convergence,Diversity,Sequential panel selection method,Convergence order","
                  This paper uses the sequential panel selection method to examine the convergence of the energy use of 107 countries. It contributes by analyzing the order of convergence and the factors affecting the difference in convergence using improved methods. We provide robust evidence to indicate that seven out of ten countries have been convergent during the period examined, and strong decoupling across countries does not exist. Additionally, high-income and upper-middle-income countries show convergence characteristics earlier than lower middle-income and low-income countries. This means that high-income and upper-middle-income countries are the first to achieve steady-state levels by adjusting their industrial structure and adopting new technologies, and energy exporters have dominant control over energy use. We find that energy-exporting countries converge before energy importers do. These results mean that the energy use of most countries is in accordance with the convergence theory. It also shows that GDP per capita, industrialization level and latitude have great impacts on convergence, especially for industrialization. Our research provides a reference for countries around the world to adjust their energy use policies and to realize a rational flow of energy resources.
               ",S0928765519300417
Resource and Energy Economics,2020-11-30,Energy efficiency promotion backfires under cap-and-trade ,"Energy policy,Climate policy,Greenhouse gas emissions,Cap-and-trade,Energy efficiency,Carbon leakage,Rebound effect,Backfire effect,General equilibrium","
                  Major climate-cum-energy policies and respective impact projections rest on the widespread belief that increased energy efficiency can be equated with savings in energy use and emissions. This belief is flawed. Due to the rebound effect emissions savings from energy efficiency improvements will be generally less than what is technically feasible, or even be reversed. By means of an analytical general equilibrium model we demonstrate the latter to be true in a case that is both stark and relevant: if electricity generation is subject to a cap-and-trade scheme with partial coverage, increased efficiency of electric devices leads unambiguously to increased carbon emissions. The result implies that a proper distinction between the energy rebound and the carbon rebound is warranted, and that public policy must carefully consider the interactions between energy efficiency promotion and carbon pricing.
               ",S0928765519302908
Resource and Energy Economics,2020-11-30,Technology licensing and environmental policy instruments: Price control versus quantity control ,"Emission trading,Taxation,Technology licensing","
                  This paper analyzes the welfare implications of abatement technology licensing under taxation and emission trading schemes. We demonstrate that a firm with a better abatement technology optimally sells a per-unit royalty license to a competitor under both schemes but offers a higher royalty rate under the latter. The emission trading scheme may outperform the taxation scheme regarding social surplus by inducing more production by the licensor and less production by the licensee. These are reversals of the welfare implications suggested by the literature that adopts a partial equilibrium approach or omits either the market for the advanced technology or the final goods.
               ",S0928765518303592
Resource and Energy Economics,2020-11-30,Spatial discounting of ecosystem services ,"Spatial discounting,Discounting,Spatial decay,Ecosystem services,Welfare economic theory,Willingness to pay,Benefit transfer","
                  The impact of conservation efforts targeted at preserving ecosystem services largely depend on the welfare implications associated with spatial variations in the provision of ecosystem services. While there is ample empirical evidence of spatial discounting or decay of the valuation of ecosystem services, there are still few underpinnings based on welfare economic theory. We establish a theory of spatial discounting that closely follows the concept of time discounting pertaining to climate change, and show spatial discount rates in the consumption, ecosystem service, and willingness to pay (WTP) numeraires. We consider the role of key parameters such as pure rate of spatial preference, consumption change, ecosystem services change, population density, and elasticity of marginal utility. We find that the spatial discount rate of WTP for ecosystem services that frequently appears in the empirical literature is the difference between the ecosystem service discount rate and consumption discount rate, where the ecosystem service discount rate includes both physical distance decay and welfare effects. Finally, we use numerical simulations to illustrate how the three different spatial discount rates vary with the spatial distance from the source of ecosystem services and with consumption patterns, implying many more possible spatial variations of WTP.
               ",S0928765519302945
Resource and Energy Economics,2020-11-30,Effectiveness of air pollution standards in reducing mortality in India ,"Air pollution,PM2.5,Mortality,Environmental regulations,India","
                  India experiences some of the highest air pollution levels globally, with 13 of the 20 most polluted cities in the world. In this paper, we estimate the relationship between air pollution policies in India and mortality for people of all ages and all causes. We estimate the relationship between mortality and two major air pollution regulations, the Supreme Court Action Plan (SCAP) and the Catalytic Converter (CC) policy. Although data for mortality in India have improved over time, the annual average mortality for many districts is volatile, with many outliers and missing values. After addressing these measurement issues in a difference-in-differences setup, we do not find evidence that the policies were effective in significantly reducing mortality. In an effort to understand the potential benefits of reducing pollution levels in India, we investigate the association of different pollution types with mortality. This analysis relies upon relatively recent satellite data on PM2.5 levels in India. We examine this relationship for India for the first time, using a fixed effects model in an attempt to address issues of endogeneity and measurement error. We find that PM2.5 levels are positively associated with mortality, with a 10% increase in pollution conditionally associated with a 2.0% increase in the mortality rate.
               ",S092876551930452X
Resource and Energy Economics,2020-11-30,The measurement of environmental economic inefficiency with pollution-generating technologies ,"Environmental economic inefficiency,Pollution-generating technologies,Technical and allocative efficiency measurement,Data envelopment analysis,US agriculture","
                  This study introduces the measurement of environmental inefficiency from an economic perspective. We develop our proposal using the latest by-production models that consider two separate and parallel technologies: a standard technology generating good outputs, and a polluting technology for the by-production of bad outputs. While research into environmental inefficiency incorporating undesirable or bad outputs from a technological perspective is well established, no significant attempts have been made to extend it to the economic sphere. Based on the definition of net profits, we develop an economic inefficiency measure that accounts for suboptimal behavior in the form of foregone private revenue and environmental cost excess. We show that economic inefficiency can be consistently decomposed according to technical and allocative criteria, considering the two separate technologies and market prices, respectively. We illustrate the empirical implementation of our approach using a dataset on agriculture at the level of US states.
               ",S0928765519302258
Resource and Energy Economics,2020-11-30,Testing the regulatory threat hypothesis: Evidence from Sweden ,"Regulatory threat,Monopoly,price setting,spatial interaction,natural experiment","
                  This study examines whether threat of stricter regulation influences the pricing behavior of firms. Using data on unregulated Swedish local district heating monopolists, we measure the threat level by the number of customer complaints about prices received by a national board. Exploiting a natural experiment, we find that firms reduce prices when customer complaints increase.
               ",S0928765520300889
Resource and Energy Economics,2020-08-31,Pareto-Efficient Solutions for Shared Public Good Provision: Nash Bargaining versus Exchange-Matching-Lindahl ,"Nash bargaining solution,Exchange,matching,Lindahl mechanism,public goods,outsourcing","
                  We compare two cooperation mechanisms for consumer/producers of a public good: the Nash Bargaining Solution (NBS) and the Exchange-Matching-Lindahl (EML) solution, where each agent specifies her demand for and supply of the public good according to her personal exchange rate. Both mechanisms are Pareto-efficient. EML is equivalent to matching. In our specific model with linear or quadratic benefits and quadratic costs, EML and NBS are equivalent when there are two agents. With more than two agents, the high-benefit/low-cost agents are better off under EML. We also analyze outsourcing, where agent i can pay agent j to produce the amount that agent i promised to contribute. In our specific model, payments from high-cost to low-cost agents (and from high-benefit to low-benefit agents) are (usually) lower in EML than in NBS.
               ",S0928765519302404
Resource and Energy Economics,2020-08-31,Productivity and misallocation of energy resources: Evidence from Korea’s manufacturing Sector ,"Energy consumption,Misallocation,Allocative efficiency,Total factor productivity","
                  This paper analyzes the role of allocative efficiency of energy resources with respect to total factor productivity (TFP) in the Korean manufacturing sector. Using firm-level data for Korea, we extend the framework of Hsieh and Klenow (2009) to measure allocative inefficiency of energy markets as a function of energy price distortions. Our results indicate that between the years 2000 and 2014, intra-industry misallocation has increased. With respect to energy resources, this is truer in the low-oil-price periods than in other periods. An improvement in allocative efficiency could be attained by equalizing total factor revenue productivity across firms within an industry. In reallocating capital, labor, and energy resources, hypothetical TFP increases of 51.3 % and 71.7 % above actual levels in 2000 and 2014, respectively, could have been achieved. The evolution of firm productivity has been shaped by energy (electricity and fuel) market distortion and capital market distortion. Our evidence suggests that government (energy) price intervention is likely to have played an important role in productivity loss and in allocative inefficiency observed in energy markets.
               ",S0928765519302982
Resource and Energy Economics,2020-08-31,"Do natural resources help or hinder development? Resource abundance, dependence, and the role of institutions ","Resource curse,Resource abundance,Resource dependence,Development,Institutions","
                  The resource curse literature presents conflicting evidence on the relationship between natural resources and development. We evaluate the direct effect of resources on developmental outcomes vis-à-vis their indirect effect through the weakening of political institutions using a 3SLS instrumental variable setup that simultaneously estimates development outcomes and institutions. We find that resource abundance and resource dependence affect development outcomes through different channels. While resource abundance generally has a direct positive effect on developmental outcomes, resource dependence has a stronger negative indirect effect that operates through its negative impact on institutional quality. The results also depend on the type of development outcome considered, with more consistent positive direct effects found for physical capital measures and stronger negative indirect effects for human capital development. The use of a simultaneous framework and dual measures of resources reconciles seemingly contradictory findings in earlier work.
               ",S0928765519302362
Resource and Energy Economics,2020-08-31,Shark hunting: On the vulnerability of resources with heterogeneous species ,"Sharks,Renewable resources,Heterogeneous species,International trade","
                  This paper examines the unprecedented decimation of sharks. In accordance with the biological characteristics and the economic environment of sharks, we extend the Brander-Taylor model of renewable resources and trade to a resource with a continuum of species which are heterogeneous with respect to their growth rate. The model implies that heterogeneity increases the vulnerability of a resource as relatively abundant species make harvesting economically viable even though slow-growing species are driven to extinction. The empirical analysis assesses the fate of sharks in the light of the model and finds that the likelihood of extinction is, indeed, significantly greater for shark species which exhibit low intrinsic growth.
               ",S0928765519303719
Resource and Energy Economics,2020-08-31,Using an integrated choice and latent variable model to understand the impact of “professional” respondents in a stated preference survey ,"Professional respondents,Internet panels,Discrete choice experiments,Integrated choice and latent variable model","
                  Internet panels are increasingly used for stated preference research. Because members of such panels receive compensation for each completed survey, one concern is that over time this creates professional respondents who answer surveys solely for the monetary compensation. We identify professional respondents using data on panel tenure, survey response frequency, completion rate and total number of completed surveys. We find evidence of two types of professional respondents: “hyperactives” who answer surveys frequently and “experienced” who have long panel tenure and a large number of completed surveys. Using an integrated choice and latent variable model on stated preference survey data, we find that “hyperactive” respondents are less likely to choose the 'status quo’ and have a more stochastic choice process as seen from the econometrician's point of view, whereas “experienced” respondents have a relatively more deterministic choice process. Our results show that “hyperactive” respondents significantly impact estimated values.
               ",S0928765518304548
Resource and Energy Economics,2020-08-31,Individualism and the adoption of clean energy technology ,"Clean energy,Technology adoption,Culture,Individualism,Collectivism","
                  Why do 20% of Swedes report having adopted a clean energy system while the corresponding share of Spaniards equals 0.4%? Using data for about 25,000 individuals across 33 countries, this study tests which cultural trait, individualism or collectivism, is associated with greater levels of clean technology adoption. Our fractional probit estimates suggest that individualistic individuals are more inclined to adopt clean energy systems for home and transport purposes. In particular, the adoption probability rises by an estimated 2% if a person exhibits individualistic values. This finding is not driven by country-specific tax or subsidy policies or market-specific determinants and is robust to controlling for individual and household characteristics, attitudes, social and personal norms and other significant dimensions of cultural differences. The results, therefore, facilitate an understanding of how the decision to adopt clean energy technologies can be driven by cultural factors.
               ",S0928765519304063
Resource and Energy Economics,2020-08-31,Designing international environmental agreements under participation uncertainty ,"International environmental agreement,Coalition formation,Participation uncertainty,Stable coalition","
                  Traditional international environmental agreement (IEA) models usually use some specific contribution rules, which either fail to provide sufficient incentives for cooperation, or ignore the loss from participation uncertainty. Can more general rules overcome these problems and improve the performance of IEAs? This paper analyzes the endogenous determination of contribution rules from a class of general rules through a three-stage coalition formation game under participation uncertainty. In stage one, a designer chooses a contribution rule, which, depending on the size of the signatories’ coalition formed in stage two, specifies the action each signatory should take in stage three. A contribution rule is said to be optimal when it maximizes the expected payoff of signatories. We provide an algorithm to determine an optimal rule. When uncertainty is either sufficiently large or equal to zero, the optimal rule coincides with some existing rules in the literature. However, when the uncertainty is neither large nor small, the optimal rule outperforms other rules in terms of signatories’ payoff.
               ",S0928765519303380
Resource and Energy Economics,2020-08-31,"Adverse selection, commitment and exhaustible resource taxation ","Resource taxation,Asymmetric information,commitment","
                  This paper studies the contractual relationship between a government and a firm in charge of the extraction of an exhaustible resource. Governments design taxation scheme to capture resource rent and they usually propose contracts with limited duration and possess less information on resources than the extractive firms do. This article investigates how information asymmetry on costs and an inability to commit to long-term contracts affect tax revenue and the extraction path. This study gives several unconventional results. First, when information asymmetry exists, the inability to commit does not necessarily lower tax revenues. Second, under asymmetric information without commitment, an efficient firm may produce during the first period more or less than under symmetric information. Hence, the inability to commit has an ambiguous effect on the exhaustion date. Third, the modified Hotelling's rule is such that an increase in the discount factor does not necessarily reduce the first-period extraction.
               ",S0928765518303178
Resource and Energy Economics,2020-08-31,What if people value nature? Climate change and welfare costs ,"Business cycles,Temperature shocks,Climate change,Environmental quality","
                  We introduce temperature shocks and preferences for environmental quality in a real business cycle model with natural resources. Temperature anomalies are transmitted to the business cycles via their negative effects on output and agents’ utility. Our findings suggest that permanent and temporary weather shocks propagation and their welfare implications depend crucially on whether agents value environmental quality. A permanent increase in temperature reduces output with damages reaching up to 1.61% of GDP. Agents who value environmental quality experience a higher temporary welfare gain when facing a negative weather shock, but welfare drops faster as the economy returns to equilibrium. Temperature anomalies amplify the (negative) effect of climate change on natural resources use and welfare.
               ",S0928765519301642
